random agent win:14.0  |  rl agent win:143.0
map4  |  step:152
random agent score:0.0  |  rl agent score:100.0
random agent win:14.0  |  rl agent win:144.0
map8  |  step:393
random agent score:0.0  |  rl agent score:100.0
random agent win:14.0  |  rl agent win:145.0
map11  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:14.0  |  rl agent win:145.0
map4  |  step:161
random agent score:0.0  |  rl agent score:100.0
random agent win:14.0  |  rl agent win:146.0
map8  |  step:127
random agent score:0.0  |  rl agent score:100.0
random agent win:14.0  |  rl agent win:147.0
map5  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:14.0  |  rl agent win:147.0
map10  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:14.0  |  rl agent win:147.0
map5  |  step:299
random agent score:100.0  |  rl agent score:0.0
random agent win:15.0  |  rl agent win:147.0
map4  |  step:347
random agent score:100.0  |  rl agent score:0.0
random agent win:16.0  |  rl agent win:147.0
map4  |  step:160
random agent score:0.0  |  rl agent score:100.0
random agent win:16.0  |  rl agent win:148.0
map10  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:16.0  |  rl agent win:148.0
map3  |  step:123
random agent score:100.0  |  rl agent score:0.0
random agent win:17.0  |  rl agent win:148.0
map8  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:17.0  |  rl agent win:148.0
map6  |  step:255
random agent score:0.0  |  rl agent score:100.0
random agent win:17.0  |  rl agent win:149.0
map7  |  step:71
random agent score:0.0  |  rl agent score:100.0
random agent win:17.0  |  rl agent win:150.0
map10  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:17.0  |  rl agent win:150.0
map4  |  step:157
